NAME	PVL Differentiated	Macrophage	GenMod4	T cells CD8+	T cells CD4+	Endothelial RGS5	B cells Memory	GenMod1	Myoepithelial	CAFs MSC iCAF-like	CAFs myCAF-like	Plasmablasts	B cells Naive	GenMod3	GenMod2	GenMod7	DCs	GenMod5	Endothelial ACKR1	Monocyte	Mature Luminal	GenMod6	Endothelial CXCL12	NK cells	PVL Immature	Luminal Progenitors	NKT cells	Endothelial Lymphatic LYVE1
RCOR3	1	1	32.5441399182089	1	1	1	1	50.1614161222046	1	1	1	1	1	1	1	56.9259648504688	1	73.1806923293403	1	1	1	32.3343418290306	1	1	1	1	1	99.2051499334757
RCSD1	61.3484241082218	75.4524825530701	1	103.248133982207	84.9253793475316	1	168.523240407159	1	1	1	1	1	357.781378339249	1	1	1	1	1	1	77.4084012643546	1	1	1	1	53.3128996475164	1	1	1
RDH10	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	50.1359186720215	101.135453878811	1	1	1	1	1	1
RDH13	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	27.2105383387725	1	1	1	1	1	1
RDH14	1	1	41.4758324451638	1	1	1	1	1	1	1	37.9749514992483	1	65.7043764745425	41.5898880928913	33.5418863844015	1	1	1	1	1	33.8216204643944	30.6374461660108	1	1	1	1	1	1
RECK	1	1	1	1	1	1	1	1	1	1	62.7055634931949	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
RECQL	52.4050851721379	41.6050656620094	30.7739344048758	1	1	52.8392537591718	1	1	1	1	53.6148922338268	1	1	45.9061760908241	1	1	31.1609735602853	1	63.5123934011845	45.1713501800722	1	1	1	1	1	1	123.856814317364	1
REEP4	1	49.4344971053162	41.8909668491262	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
REEP6	1	1	77.0226264548945	1	1	1	1	110.33372989502	1	1	1	1	1	1	115.608455257583	105.017635177939	1	163.511812325712	1	1	107.744083610539	109.923093638664	1	1	1	1	1	1
REL	1	273.741736392327	62.5328166688523	424.426840214905	346.227535454626	61.1571640741173	746.26647222182	132.677650043512	71.7851892810255	1	46.6210996768073	1	628.450139198404	100.214160095769	39.9192002307481	125.9383628284	623.893156648674	66.6664749884104	67.228070706551	328.316741243923	145.713620088844	78.7133359495146	71.286124272372	897.646987169579	1	117.559391726855	558.994751542582	71.7425935643741
RELA	58.4426489850311	1	50.7695788094907	1	1	68.5967495464705	1	40.8159315995686	75.2480031679881	69.3240586118175	34.248788809505	1	89.3637464354397	36.6827110147033	40.1792183718473	33.0915735427685	38.4817543408033	35.560744704307	64.5004959124432	1	76.0066046441974	32.8202774448402	66.800507516377	1	71.8598928104421	65.2351814578649	1	85.0352188489033
RELB	1	63.4193365447579	44.6723571114701	112.774552449423	128.079386904806	63.3749711640992	130.82490278333	55.9481622526766	1	1	51.2571480647558	56.8347200256581	1	47.077797857091	24.2031725325091	47.4991419686473	150.579569978816	1	78.7489333655683	59.775728460429	106.64182220453	28.1094445703826	60.3673404035099	175.015775053718	73.8825939213512	61.5221550618068	1	1
RELL1	1	1	1	1	1	52.2200798323529	1	1	1	1	1	1	1	1	1	1	1	1	54.826460728342	1	1	1	1	1	1	1	1	34.8028541629605
RELT	1	48.1062892582186	1	1	1	1	1	1	1	1	1	1	1	1	1	1	73.9523740290014	1	1	65.8261045195653	1	1	1	1	1	1	1	1
REM1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	66.2578651722066	1	1	1
RENBP	1	67.2840862929386	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
REPS1	1	1	31.9849957603693	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	35.5405495383436	1	1	1	1	30.803842228389	1	1
