NAME	Endothelial ACKR1	Endothelial RGS5	GenMod5	Endothelial CXCL12	NK cells	T cells CD4+	GenMod1	GenMod3	T cells CD8+	Macrophage	NKT cells	Plasmablasts	PVL Differentiated	CAFs MSC iCAF-like	DCs	CAFs myCAF-like	Monocyte	GenMod2	GenMod7	Myoepithelial	GenMod6	PVL Immature	Luminal Progenitors	B cells Memory	GenMod4	Mature Luminal	B cells Naive	Endothelial Lymphatic LYVE1
CBL	1	60.8017784285107	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
CBLB	108.166057572835	90.1452108671687	1	1	215.076357099925	145.423022727976	1	1	304.305210307497	1	149.421526046911	1	1	73.0841795445786	1	46.2089315374231	1	1	1	1	1	1	1	1	1	1	1	95.7911541085222
CBR3	1	1	1	1	1	1	49.9923195054077	62.8961887693917	1	1	1	1	1	87.8018643931062	1	1	1	83.2090229972521	83.6512289190355	90.8770919782092	58.6669488595	1	57.7349166534155	1	102.941776663478	1	1	1
CBR4	1	1	40.3270993097875	1	1	1	1	1	1	1	1	1	1	1	1	1	1	25.1730741889915	1	1	1	1	1	1	1	29.996503060725	1	1
CBWD1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	37.4701339533572	1	1	1	1	1	1	66.7850014613095	29.961442596091	1	1
CBWD2	1	1	1	1	1	1	45.5990969826338	1	1	1	1	1	1	1	1	1	1	36.999102380781	39.0717720564159	1	1	1	1	1	1	39.2874388881969	1	1
CBWD5	1	1	94.221970499174	1	1	1	54.2211962873537	42.5620872066761	1	1	1	1	1	1	1	1	1	22.032309480921	34.3227611297739	1	29.8630127940819	1	1	1	1	125.952228384924	1	1
CBX4	1	1	70.1826625918278	1	1	1	51.3307297600557	1	1	1	1	1	1	1	1	1	1	1	59.6313679597755	1	33.3053214822246	1	1	1	1	1	1	1
CBX6	1	26.9615406334111	1	56.4481160567479	1	1	1	1	1	1	1	1	110.928017383684	1	50.1881150338091	39.5573987738206	1	1	1	1	1	56.6904976461556	1	1	1	30.4924609132853	1	38.2967644404935
CBY1	1	1	1	1	1	1	1	32.9670877965226	1	1	1	1	1	1	1	38.2441704334572	1	30.6707819425389	1	51.472000353387	23.7762886254011	1	40.1480268858253	1	33.5411691752523	1	1	1
CC2D1A	1	1	1	1	1	1	1	32.1010940431536	1	1	1	1	1	1	1	1	1	1	42.0182912388232	175.433106785538	22.780353644733	1	42.3422345795999	1	1	35.3893868297773	1	20.381909265435
CCBL2	1	1	38.7484365215871	1	1	1	1	1	1	1	1	1	1	1	1	1	1	24.9473193094307	1	1	1	1	1	1	1	32.2831563795481	1	1
CCDC102B	1	1	1	1	1	1	1	1	1	1	1	1	95.4312538601955	1	1	1	1	1	1	1	1	369.346249160994	1	1	1	1	1	1
CCDC106	1	1	1	1	1	1	36.4632107716475	1	1	1	1	1	1	1	1	1	1	22.9387534183292	1	1	29.1019340694397	1	1	1	1	31.0651642836333	1	159.248076449576
CCDC109B	94.5827525863192	1	1	43.4127759103342	1	151.634230155401	31.5351126776039	44.5071200939327	119.659384197358	97.5200500406044	1	1	1	51.5871363832309	88.4021341857224	80.075668508874	110.884730341351	1	1	1	36.3755548479789	1	1	91.8499761483849	46.4089151655852	1	75.4909270750041	1
CCDC112	1	1	1	1	1	1	1	30.3209397774147	1	43.8570756512497	1	1	1	1	1	1	1	29.3632283882426	1	1	1	1	1	1	1	1	1	1
CCDC117	1	1	91.0952994981402	1	1	1	1	1	1	1	1	1	1	1	1	1	1	49.720226426578	1	1	1	1	1	1	1	1	1	1
CCDC125	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	25.5214997886632	1	1	1	1	47.3902203197677	1	1
CCDC126	1	1	1	1	1	1	35.7184044103486	1	1	1	1	1	1	1	1	1	1	1	1	1	31.5867592413939	1	1	1	1	1	1	1
CCDC127	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	23.3964333350452	1	1	1	1	1	1	1	1	1	1
CCDC137	1	1	42.7642509603672	1	1	1	1	90.3286963019515	1	1	1	1	1	1	1	1	1	38.8257602978765	57.500797244755	1	34.6416816770607	1	1	1	42.4204161968177	1	1	19.5766464410723
CCDC14	1	1	53.93863608705	1	1	1	32.6949345351449	44.971811328219	1	1	1	1	1	1	1	1	1	29.9694349933049	63.3909487964673	1	27.5692334760443	1	43.6889973248916	1	35.6996172050322	33.0611962638311	1	1
CCDC159	1	1	47.1100053281744	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	51.6000619931286	1	1
CCDC167	1	1	51.0672891054579	73.2851070080284	1	84.0149004876717	35.3883310078613	67.5454971738468	91.3576656213186	1	1	48.8338320406137	1	1	1	1	1	83.569636622294	57.2459793351406	1	50.9236080787326	1	1	1	79.2942996828207	1	1	48.7792053296722
CCDC170	1	1	73.8061871534718	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	47.4391293363378	1	1
CCDC178	58.4884763687028	40.4187795929739	1	43.6276133997313	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
CCDC24	1	1	48.2554242272145	1	1	1	40.6382533551043	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	37.2261564916058	1	1
CCDC28B	1	1	1	1	1	1	1	1	1	1	1	1	1	1	35.0414790349621	1	1	1	1	1	1	1	1	1	1	1	1	159.248076449576
CCDC3	45.5851879309262	64.5488717722275	1	67.0291400275911	1	1	1	1	1	1	1	1	135.324878204479	1	1	1	1	1	1	1	1	1	1	1	1	1	1	150.936160970972
CCDC34	1	1	36.9768236554799	1	1	1	28.1805713793111	30.3433902093409	1	1	1	1	1	1	1	1	1	44.9305810505233	33.2557942669018	1	23.7376097864248	1	55.101238401644	1	89.8814717176631	36.6688979949391	1	1
CCDC43	1	1	42.2691757869434	1	1	1	1	24.6307112836677	1	1	1	1	1	1	1	1	1	37.9122166179378	1	1	28.9207890907654	1	28.0730816343208	1	1	1	1	1
CCDC50	196.626164842098	175.592928686457	1	144.086123381667	1	1	1	95.6323674667767	1	68.1133286373024	1	52.6327522801176	104.596425400779	52.3246257755848	297.522052440301	78.6923153228917	57.0701203797222	1	59.6644414871691	56.1318065409769	39.1340131593659	95.6452815003556	53.933099110531	188.424613172124	50.9617993419379	31.9488817147903	94.8629803737038	411.310584549183
CCDC57	1	1	90.9897550616032	1	1	1	73.9738675288611	38.6587331082447	1	1	1	1	1	1	46.8917996054584	1	1	52.4865720496362	66.253857982504	1	63.352553853463	1	1	1	1	76.8474388426756	1	1
CCDC58	1	1	1	1	1	1	33.244734141723	28.6834778542084	1	1	1	1	1	1	1	1	1	37.9099511571377	1	1	29.6432961743908	1	1	1	45.2110413952774	1	1	1
CCDC6	1	1	71.0564605310405	1	1	1	44.0653515371907	96.3401690522222	1	1	1	1	1	1	31.6706854337074	1	1	50.4252044751435	81.4695617795191	57.9834381535607	58.4823887879489	1	67.4685888348271	1	75.0400025792869	44.1396477602731	87.7320774312101	1
CCDC64B	1	1	62.0654270565334	1	1	1	62.4944155253381	41.9246187919323	1	1	1	1	1	1	1	1	1	46.2816010167614	102.609449262698	1	81.1593622387743	1	60.7241525788275	1	31.0443313449937	52.7815353087324	1	1
CCDC69	104.218662673815	60.7366713012674	1	1	116.04335728494	1	1	1	1	1	112.659436487662	41.8308802282217	1	1	53.6584359334696	1	1	1	1	1	1	1	1	1	1	1	156.722106875414	1
CCDC74A	1	1	241.362045278973	1	1	1	78.6166417645979	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	69.544289632777	1	1
CCDC8	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	33.6783639028363	1	1	1	107.540640157655	1	1	1	1	1	1	1	1
CCDC80	1	118.554521146699	1	1	1	1	1	1	1	1	1	1	90.1270831950047	1448.43832481288	1	1400.92338529876	1	1	1	1	1	131.872806371835	1	1	1	1	1	136.838628390591
CCDC82	44.2897232244441	1	1	59.6002381283314	1	1	1	41.9016162069282	1	1	1	1	1	1	1	45.2648182262112	1	1	1	1	1	1	1	1	1	1	1	65.4099931483565
CCDC86	1	1	1	1	1	1	1	31.4400674689351	1	1	1	1	1	1	1	1	1	23.5882554742744	1	1	1	1	1	1	1	1	1	1
CCDC88A	62.6453193403016	36.6673925467017	1	60.423772707803	1	1	1	54.5490950459891	1	167.693864953705	1	1	1	1	206.323892530578	1	146.811431510837	1	1	53.644101070364	1	1	1	1	1	1	1	115.97549158423
CCDC88C	1	1	1	1	1	1	1	1	1	1	150.231245764569	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
CCDC91	1	1	43.9684757399589	53.4640540964811	1	1	34.3705433980071	71.7757416039248	1	43.6513155386778	125.055889739296	1	40.747292884024	1	31.1256656043278	42.7122983831613	1	40.4730815927695	60.02018686792	62.7856681115703	51.4669130438673	70.0550769168541	39.2419140092929	1	37.3387200464183	141.776955373839	1	1
