NAME	GenMod2	PVL Differentiated	NK cells	T cells CD8+	PVL Immature	GenMod7	GenMod3	Plasmablasts	GenMod5	Macrophage	GenMod1	T cells CD4+	CAFs MSC iCAF-like	Myoepithelial	B cells Memory	CAFs myCAF-like	Endothelial CXCL12	GenMod6	Luminal Progenitors	Endothelial RGS5	Endothelial ACKR1	GenMod4	Endothelial Lymphatic LYVE1	Mature Luminal	DCs	Monocyte	B cells Naive	NKT cells
MTMR2	1	1	1	1	1	1	30.0623749293019	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	104.65444799153	1	1	1	1	1
MTMR6	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	36.1734790184933	1	1	1	1	1
MTR	1	1	1	1	1	1	1	1	56.1555474769355	1	1	1	1	1	1	40.5268586056862	1	1	1	1	1	1	28.6814061955102	38.1825717905471	1	1	1	1
MTRF1L	1	1	1	1	1	1	27.634172200853	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
MTRNR2L8	1	246.251908864632	1	1	284.583842958041	68.7230185544414	1	1	116.760090260272	79.9009698640062	80.5680633534843	1	100.960650404243	1	1	141.297889527358	161.849298285637	52.2213313408943	75.6075497665752	175.316582556974	109.669134884927	1	70.2057480627642	59.7004891856301	1	1	1	1
MTSS1	1	1	1	1	1	1	1	1	1	78.8596228617192	35.4232471451519	1	1	1	195.887250993538	1	1	39.7077795183562	1	71.4783950853436	1	1	1	1	1	1	91.5219331783477	1
MTURN	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	24.861397957436	1	1	1	1	1	1	1	1	1	1
MTUS1	1	1	1	1	48.1533587252694	39.0645438450435	1	1	54.6857145614492	1	40.5493702890212	1	113.793511941528	1	1	59.8739388032726	424.537415402931	35.3463515133326	25.5849034340071	212.36130893996	234.647145217828	1	195.744318641032	35.9803448739208	1	1	1	1
MUC1	44.3630414299358	1	1	1	1	227.819716337245	45.8505204501179	1	747.883047463301	1	274.60363713129	1	1	1	1	1	1	304.168287174085	1	1	1	38.2678064366268	1	169.167297796634	1	1	1	1
MUC5B	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	50.3537921457779	1	1	1	1	1	1	1	1	1	1
MUC6	1	1	1	1	1	1	1	1	251.229918638035	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
MUCL1	8361.90963800879	1	1	1	1	3881.99713635299	1	108.600003650022	6477.38822506023	1	926.828001608421	1	1	140.499080897625	1	1	1	4470.47512001841	1	1	1	4771.97208525664	1	7455.33888214686	1	1	1	230.545151130176
MUM1	32.3818938379056	1	1	1	1	65.2790123474843	1	1	55.464708976798	1	43.6183993529658	1	1	1	1	48.8761194336672	1	44.3235964457204	1	1	1	1	1	28.0071032847764	1	1	1	1
MUS81	20.614080747879	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	33.0392083168918	53.2903627167403	1	1	1	1	1
MUT	1	1	1	1	1	1	1	1	54.5154664420176	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
MVD	37.8481367797902	1	1	1	1	1	35.3557588907751	1	1	1	1	1	1	1	1	1	1	1	1	1	1	58.2670883381675	42.5974121614037	1	1	1	1	1
MX1	1	1	137.363188237081	239.76103538857	85.9927522093193	1	58.1744358320926	62.53901384957	1	166.752715734485	1	113.349117340947	1	103.117733535235	165.688120156585	66.3087307092812	275.967894842303	1	1	132.381328743629	149.545931598482	1	115.410747355222	1	284.717604801334	136.516039043884	328.855880439444	1
MX2	1	1	1	1	92.1736910817063	1	1	1	1	79.9945842003461	1	1	74.6327608029176	1	117.431027601731	88.9302863640514	58.4161639029638	1	1	1	1	1	1	1	92.5471643737908	98.1675909189067	185.035216435327	1
MXD1	1	1	112.363709555752	1	1	54.3039428173998	1	1	1	120.291609655115	72.987771151846	1	1	1	1	1	1	1	1	1	1	1	1	33.9341496933502	85.1058422362673	227.724489954571	1	1
MXD3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	36.494459501801	1	1	1	1	1	1
MXD4	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	49.7661541509592	60.3191907187841	1	1	1	1	1	5.78742948526238	1	1	1	1	1
MXI1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	37.9305326101791	1	1	1	1	43.5449319511309	1	1	1	1
MXRA5	1	1	1	1	1	1	1	1	1	1	1	1	191.979393158111	1	1	491.324281904762	1	1	1	1	1	1	1	1	1	1	1	1
MXRA7	1	1	1	1	1	1	1	1	1	1	1	1	62.031697241025	1	1	74.959509211981	1	1	1	1	1	1	1	1	1	1	1	1
