NAME	CAFs MSC iCAF-like	Endothelial ACKR1	B cells Memory	T cells CD4+	Monocyte	GenMod5	T cells CD8+	Endothelial CXCL12	Plasmablasts	NK cells	GenMod4	DCs	CAFs myCAF-like	GenMod2	PVL Differentiated	Macrophage	GenMod1	Mature Luminal	Endothelial RGS5	Endothelial Lymphatic LYVE1	GenMod3	GenMod7	Luminal Progenitors	B cells Naive	PVL Immature	Myoepithelial	GenMod6	NKT cells
LYSMD2	1	72.2678903128743	80.025411062699	1	102.415856407358	1	1	50.0481166607896	1	1	1	64.1586435189151	1	1	68.1143256119705	94.3711964034666	1	1	66.8820764602419	103.952079861305	36.8407443303416	1	37.7633026067252	115.493807102784	58.1209176550578	1	1	1
LYST	1	79.8139175561738	1	1	85.0408421106671	53.2054374113968	162.888724346037	67.0357680624149	1	147.039527397569	58.0117682106988	73.1804495773328	1	1	1	1	64.1977136275525	33.4624636982779	1	120.314045911403	1	60.8817140988476	1	122.30327931323	1	1	47.3093586238775	176.209020055133
LYVE1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	147.105794772526	1	1	1	1	1	1	1	1	1	1	1	1
LYZ	1	1	1	1	6062.44319868502	1	1	1	1	1	1	1311.3694571101	1	1	1	2883.94675521383	1	1	1	1	1	1	1	107.596369068066	1	1	1	1
LZTFL1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	44.9177655544142	29.6964087198043	1	1	1	1	1	1	1	1	1	1
LZTS1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	98.2416832378985	1	1	1
MACC1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	37.2539249808539	1	1	1	1	1
MAD1L1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	96.4110663323646	29.5813128251454	1	1	1	1	1	1	81.3116053910346
MAD2L1	1	1	1	1	1	1	1	1	1	1	84.7212405017471	1	1	1	1	1	1	1	1	69.598876806312	1	1	1	1	1	1	1	1
MAF	84.3848608608918	1	1	106.105083139699	1	1	1	1	1	1	1	1	62.2666879819542	1	1	166.645697790948	1	1	1	87.0903199506714	1	1	1	1	121.956242628214	1	1	1
MAFB	715.283403401015	134.106288117373	1	1	351.403538806601	1	1	70.7539375012771	1	1	59.012976368452	1	290.919034959309	44.0387911874413	225.206234662456	685.504792450485	52.5651289849945	209.978922185067	92.1868302578083	87.083308134193	131.612851912015	136.002900832516	198.064770757944	1	135.269399768146	420.99819714254	68.1491927984778	1
