Radius,ERn86Epi,ERn58Epi,ERp73Epi,ERp3019Epi
282,213.426751592357,193.256637168142,266.793220338983,378.796894409938
283,214.872611464968,194.530973451327,268.667796610169,381.662111801242
284,216.222929936306,196,270.627118644068,384.501863354037
285,217.796178343949,197.424778761062,272.562711864407,387.291925465839
286,219.203821656051,198.769911504425,274.664406779661,390.139130434783
287,220.675159235669,200.017699115044,276.640677966102,392.991304347826
288,222.178343949045,201.504424778761,278.68813559322,395.863975155279
289,223.726114649682,202.911504424779,280.576271186441,398.793167701863
290,225.127388535032,204.371681415929,282.542372881356,401.725465838509
291,226.726114649682,205.646017699115,284.491525423729,404.591304347826
292,228.082802547771,206.929203539823,286.410169491525,407.627329192547
293,229.535031847134,208.513274336283,288.413559322034,410.448447204969
294,230.898089171975,209.690265486726,290.186440677966,413.41801242236
295,232.471337579618,211.132743362832,292.077966101695,416.35652173913
296,233.987261146497,212.41592920354,294.105084745763,419.278260869565
297,235.496815286624,213.805309734513,296.210169491525,422.198136645963
298,236.949044585987,215.061946902655,298.264406779661,425.132919254658
299,238.458598726115,216.566371681416,300.149152542373,428.167080745342
300,239.942675159236,217.982300884956,302.230508474576,431.206211180124
301,241.490445859873,219.389380530973,304.271186440678,434.196273291925
302,242.929936305732,220.814159292035,306.328813559322,437.186956521739
303,244.426751592357,222.371681415929,308.433898305085,440.218633540373
304,245.885350318471,223.805309734513,310.461016949153,443.211801242236
305,247.235668789809,225.247787610619,312.471186440678,446.296273291925
306,248.898089171975,226.619469026549,314.481355932203,449.346583850932
307,250.458598726115,228.061946902655,316.522033898305,452.423602484472
308,251.993630573248,229.451327433628,318.647457627119,455.437888198758
309,253.337579617834,230.725663716814,320.606779661017,458.52049689441
310,254.764331210191,231.902654867257,322.722033898305,461.566459627329
311,256.305732484076,233.336283185841,324.810169491525,464.619254658385
312,257.834394904459,234.778761061947,326.949152542373,467.649068322981
313,259.305732484076,236.141592920354,329.013559322034,470.781366459627
314,260.955414012739,237.469026548673,331.125423728814,473.919254658385
315,262.617834394904,238.955752212389,333.345762711864,477.05652173913
316,264.165605095541,240.575221238938,335.477966101695,480.165838509317
317,265.738853503185,242.061946902655,337.68813559322,483.275155279503
318,267.242038216561,243.619469026549,339.752542372881,486.470186335404
319,268.770700636943,244.867256637168,341.925423728814,489.619875776398
320,270.235668789809,246.185840707965,344.04406779661,492.771428571429
321,271.783439490446,247.716814159292,346.372881355932,495.933540372671
322,273.140127388535,249.185840707965,348.477966101695,499.16149068323
323,274.668789808917,250.796460176991,350.71186440678,502.342857142857
324,276.31847133758,252.212389380531,353.098305084746,505.549068322981
325,277.885350318471,253.646017699115,355.261016949153,508.806832298137
326,279.566878980892,254.858407079646,357.508474576271,512.046583850932
327,281.133757961783,256.194690265487,359.701694915254,515.191925465838
328,282.687898089172,257.690265486726,361.972881355932,518.435403726708
329,284.331210191083,259.150442477876,364.26779661017,521.678881987578
330,285.955414012739,260.513274336283,366.471186440678,524.885093167702
331,287.700636942675,262.053097345133,368.816949152542,528.166459627329
332,289.254777070064,263.46017699115,371.105084745763,531.413664596273
333,290.974522292994,265.035398230089,373.46779661017,534.698136645963
334,292.605095541401,266.513274336283,375.816949152542,537.935403726708
335,294.03821656051,268.132743362832,378.08813559322,541.252173913044
336,295.789808917197,269.522123893805,380.464406779661,544.601863354037
337,297.286624203822,270.982300884956,382.661016949153,547.939751552795
338,298.96178343949,272.407079646018,384.864406779661,551.342236024845
339,300.617834394904,273.769911504425,387.152542372881,554.67701863354
340,302.146496815287,275.380530973451,389.51186440678,558.035403726708
341,303.71974522293,276.902654867257,391.874576271186,561.389440993789
342,305.331210191083,278.442477876106,394.189830508475,564.757763975155
343,307.019108280255,280,396.508474576271,568.093788819876
344,308.815286624204,281.769911504425,398.64406779661,571.460869565217
345,310.445859872611,283.212389380531,401.071186440678,574.835403726708
346,311.987261146497,284.619469026549,403.494915254237,578.198757763975
347,313.71974522293,286.106194690266,405.840677966102,581.569565217391
348,315.426751592357,287.654867256637,408.094915254237,584.982608695652
349,316.910828025478,289.230088495575,410.450847457627,588.424223602485
350,318.458598726115,290.70796460177,412.762711864407,591.868322981366
351,320.089171974522,292.194690265487,415.054237288136,595.327329192547
352,321.605095541401,293.610619469027,417.416949152542,598.809316770186
353,323.356687898089,295.283185840708,419.847457627119,602.273291925466
