NAME	PVL Differentiated	T cells CD8+	GenMod4	Luminal Progenitors	GenMod3	GenMod1	Plasmablasts	B cells Memory	B cells Naive	NKT cells	T cells CD4+	GenMod7	GenMod5	PVL Immature	CAFs myCAF-like	CAFs MSC iCAF-like	NK cells	Macrophage	Monocyte	Endothelial ACKR1	Endothelial RGS5	GenMod6	DCs	GenMod2	Mature Luminal	Endothelial CXCL12	Myoepithelial	Endothelial Lymphatic LYVE1
MGST1	1	1	1004.38580447024	335.789298166421	996.739687788153	636.60187323747	1	1	1	1	1	583.017766617773	741.454637811657	1	1	104.4268056918	1	1	1	1	1	999.296910703977	1	781.377577969949	663.63119418577	1	134.421796404474	1
MGST2	66.1242502017473	1	70.9296807151903	47.9144641933427	52.7622886403035	64.3616689960005	1	1	1	1	1	44.6933063612026	90.3891152545798	1	1	1	1	92.6130415883238	64.5644395462089	288.077564027456	389.99732153498	73.3773295279354	97.1190545805358	90.9060722608109	113.054851940948	462.785560874872	1	498.174400069325
MIA	1	1	1	1	98.3478332628973	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
MIB1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	34.1219865971597	1	1	1	1	1	1	1	1	1	25.3977474098384	52.8961251431697	1	1
MICAL1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	41.5284520025795	1	1	1	48.3927192306661	1	1	1	1	1
MICAL2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	55.7458034039353	1	1	1	1	1	1	1	1	1	1	1	1	1
MICALL2	1	1	1	1	34.5826889431752	1	1	1	1	1	1	1	1	53.4725649734206	1	1	1	1	1	1	1	1	1	1	1	1	1	1
MICU1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	52.3108405003481	1	1	1	1	1	1	1	1	23.845126880541	1	1	1	1
MICU2	1	1	1	32.3528833704218	1	39.8385965950447	1	1	1	103.806546804056	1	1	123.306066327321	1	38.2056646154229	1	1	1	1	1	1	38.4384249018731	1	32.2746881257005	59.0617832760342	1	52.6032360900742	1
MID1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	77.0304053237876
MID1IP1	1	1	51.6263343837784	1	49.1759541904713	60.5542653788642	1	1	1	1	1	67.5658790027739	1	1	1	1	1	48.3182602802633	41.6696805250975	1	1	51.3979811651906	1	46.3537197136652	1	1	72.449422996928	1
MIER2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	44.7319176920106	1	1	1	1	1	67.5585751675117	1	1
MILR1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	66.2389353657967	38.4493630760506	1	1	1	51.2828910012268	1	1	1	1	1
MINA	1	1	28.0515435348726	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	27.3382971389576	1	1	1	1
MIOS	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	27.4591967053855	1	1	1	1	1	1
MIR155HG	1	104.726738137778	1	1	1	1	138.011783230861	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	97.1159809864495	1	1	1	1	1
MIR222HG	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	67.5246896363027	1	1	1	1	1	1	1	27.9167965426735
MIR22HG	122.236086910432	1	1	63.8173745036776	1	1	1	1	1	1	1	1	1	92.7922809623795	43.0282261434027	62.0012877484869	1	1	60.0331626571947	98.9152964317296	57.5652359343837	1	1	1	70.8852070108739	52.004686252643	68.4857079576345	1
MIR4435.2HG	182.88929358218	1	36.5770675197984	35.267130523205	59.9821784236199	1	74.7216902879769	1	1	1	1	43.2399919894795	1	293.60350680568	146.86073411571	1	1	1	71.0889504017391	1	131.268916102506	44.5095960062502	31.3482731963126	1	1	202.201330721777	1	124.874611395134
