NAME	T cells CD8+	CAFs myCAF-like	Macrophage	T cells CD4+	Mature Luminal	GenMod6	GenMod3	CAFs MSC iCAF-like	PVL Differentiated	Endothelial ACKR1	GenMod4	Plasmablasts	NKT cells	GenMod7	GenMod5	PVL Immature	NK cells	GenMod1	Monocyte	B cells Naive	Endothelial CXCL12	GenMod2	Endothelial RGS5	Myoepithelial	B cells Memory	DCs	Luminal Progenitors	Endothelial Lymphatic LYVE1
LILRB3	1	1	71.0580521450879	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	80.0233621126328	1	1	1	1	1	1	1	1	1
LILRB4	1	1	353.190407254528	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	173.453969198823	1	1	1	1	1	1	216.159238073359	1	1
LILRB5	1	1	68.63183394991	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
LIMCH1	1	1	1	1	231.839783556319	87.8397879660875	37.7981103810332	1	1	50.7719460874391	57.2606397343349	1	1	92.7674469714887	87.9090021200326	1	1	75.5779813003072	1	1	119.008798555776	32.2324348557302	123.029630827322	1	1	1	44.163006392614	79.1722070985013
LIMD2	488.039719468307	1	107.90112907244	487.803715371939	1	1	49.6883509510861	1	1	1	40.5108175684923	77.3096735682981	446.912070884823	1	1	64.7953947725802	392.80572622401	1	233.434876374602	926.236937638706	1	42.3777449107267	1	1	692.074795985694	250.456000609258	1	122.595988783994
LIME1	1	1	1	1	1	1	1	1	1	1	1	65.1728622657359	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
LIMK2	1	1	1	1	28.1953952613299	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	74.9535163133561	60.7395111637222	1	1	1	1
LIMS2	1	1	1	1	1	1	1	1	77.360618730727	195.263766263239	1	1	1	1	1	1	1	1	1	1	254.216850370732	1	121.064324844729	65.6783295391444	1	1	1	88.8920303001652
LIN28B	1	1	1	1	1	1	1	1	1	1	72.8125910590814	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
LINC.PINT	443.24101365741	1	43.9965914442509	411.389973426696	36.5221590213777	1	34.7113209319317	1	1	96.2899278970986	1	113.575326920586	155.599572223072	1	1	1	281.944386479187	1	55.5322740714672	173.942579081516	1	1	1	1	224.966534748889	145.884740991531	39.9222813375277	130.782158629071
LINC00152	285.875384943972	252.398951319117	60.0035788429691	163.912363072143	39.6562122782065	50.6422304179218	104.880896178986	71.1765704650607	390.194702194805	1	78.9765113009053	130.334576449424	134.932907951946	55.2868789736306	1	423.346447552102	153.164568517064	39.6806875445901	100.104761186183	1	141.015628405221	1	109.716771465733	67.2104451795092	1	71.4095376623217	102.61610215931	275.089538257228
LINC00221	1	1	1	1	1	1	1	1	1	1	56.2434679747614	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
LINC00467	1	1	1	1	50.0484695815242	48.0735129983162	1	1	1	1	1	1	1	1	53.9143670858425	1	1	44.9030337229903	1	1	1	33.285974061812	1	1	1	1	1	1
LINC00472	1	1	1	1	74.2860470329012	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
LINC00662	1	1	1	1	1	1	41.6598446179967	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
